300 500
210 118 89
257 40 0 12
149 299 0 10
74 25 1 23
69 255 0 29
266 54 1 17
8 165 1 14
292 42 1 4
291 233 1 7
292 62 0 8
204 248 0 19
78 86 1 24
144 233 0 27
266 111 1 23
229 80 1 25
113 45 1 6
7 246 1 26
227 138 1 6
162 73 0 24
2 240 0 11
104 73 0 10
204 185 0 25
224 104 1 18
224 69 0 22
254 178 0 0
90 185 0 3
216 164 0 7
199 18 0 7
201 10 1 1
142 218 1 9
82 84 1 6
83 7 1 9
160 159 0 17
46 37 1 0
4 35 1 9
184 58 0 10
77 161 0 16
30 246 0 12
161 19 0 0
277 52 0 0
216 248 1 2
97 269 0 1
179 9 1 17
183 205 1 20
19 30 0 7
233 289 0 5
212 92 1 9
32 193 1 29
233 40 1 24
18 270 0 7
83 265 0 19
21 26 0 3
173 153 0 6
237 229 1 26
292 151 0 1
271 0 1 12
164 238 1 26
281 62 1 18
90 224 1 4
262 10 1 6
177 263 1 11
295 109 1 20
17 85 1 0
119 30 0 6
60 151 1 2
116 246 0 11
145 157 0 8
179 35 1 4
98 66 0 7
293 159 1 3
27 271 1 23
277 190 0 29
80 61 1 2
212 62 1 11
116 233 0 6
120 281 1 9
19 80 0 4
216 100 0 24
115 45 0 2
171 174 1 24
217 207 1 23
114 168 1 23
142 273 0 16
270 247 0 16
129 223 0 29
207 140 1 21
183 289 0 13
183 273 1 14
3 174 0 3
39 198 0 18
125 192 0 11
120 129 1 14
136 5 0 5
225 227 0 15
6 179 1 27
206 203 1 2
161 26 1 19
248 76 1 17
26 71 0 0
159 166 0 14
248 127 0 0
200 217 0 19
74 140 1 12
205 34 0 15
150 180 0 10
160 247 0 26
296 103 1 28
122 83 0 23
4 280 1 21
187 255 0 29
244 295 1 0
202 269 0 22
221 260 0 2
